session_id,report_id,claim_id,citance_id,source,kept,reference_removed,complete,reference_key,ai_reference_key,reference_match,verdict,ai_verdict,verdict_match,verdict_confidence,ai_confidence,claim_type,ai_claim_type,claim_type_match,is_ambiguous,ai_is_ambiguous,is_overstatement,ai_is_overstatement,n_evidence,n_ai_evidence,evidence_recall,citance_text_similarity,citance_text,ai_citance_text,attribution_correct,ai_claim,corrected_claim,evidence_sentences,ai_evidence
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,analogy1,c_rz5f5w,ai,False,False,True,,analogy,,,NEI,,,0,,other,,,False,,False,0,0,,,,I had a little momentum left over from last year; I managed to make some improvements to YOLO.,,The cited work is the source of the concept of momentum.,,,
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,darknet139,c_1yke2o8,ai,False,False,True,,darknet13,,,Not Supported,,,0.93,,other,,,False,,False,0,1,,,,We use the Darknet neural network framework for training and testing.,,The cited work describes the Darknet neural network framework.,,,"Another mainstream real-time
object detectors are developed for GPU [81, 21, 97], they
mostly use ResNet [26], DarkNet [63], or DLA [87], and
then use the CSPNet [80] strategy to optimize the architec-
ture."
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,gordon2017iqa2,c_jbkedf,ai,False,False,True,,gordon2017iqa,,,NEI,,,0.99,,other,,,False,,False,0,0,,,,We have a camera-ready deadline and we need to cite some of the random updates I made to YOLO but we don't have a source.,,The cited work is referenced in connection with a camera-ready deadline.,,,
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,lin2014microsoft8,c_92claw,ai,True,False,True,lin2014microsoft,lin2014microsoft,True,Supported,Supported,True,medium,0.99,other,other,True,False,False,False,False,3,3,1.0,1.0,"In our experiments with COCO we predict 3 boxes at each scale so the tensor is $N N $ for the 4 bounding box offsets, 1 objectness prediction, and 80 class predictions.","In our experiments with COCO we predict 3 boxes at each scale so the tensor is $N N $ for the 4 bounding box offsets, 1 objectness prediction, and 80 class predictions.",True,The cited work introduces the COCO dataset.,,"We present a new dataset with the goal of advancing the state-of-the-art in object recognition by placing the question of object recognition in the context of the broader question of scene understanding. ||| The Microsoft Common Objects in COntext (MS COCO) dataset contains 91 common object categories with 82 of them having more than 5,000 labeled instances, Fig. 6. ||| We introduce a new large-scale dataset that addresses three core research problems in scene understanding: detecting non-iconic views (or non-canonical perspectives [12]) of objects, contextual reasoning between objects and the precise 2D localization of objects.","Microsoft COCO: Common Objects in Context
Abstract—We present a new dataset with the goal of advancing the state-of-the-art in object recognition by placing the question of
object recognition in the context of the broader question of scene understanding. ||| We introduce a new large-scale dataset that addresses
three core research problems in scene understanding: de-
tecting non-iconic views (or non-canonical perspectives
[12]) of objects, contextual reasoning between objects
and the precise 2D localization of objects. ||| The Microsoft Common Objects in COntext (MS
COCO) dataset contains 91 common object categories
with 82 of them having more than 5,000 labeled in-
stances, Fig. 6."
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,lin2017feature7,c_1j5zzbe,ai,True,False,True,lin2017feature,lin2017feature,True,Supported,Supported,True,medium,0.99,other,other,True,False,False,False,False,2,3,1.0,1.0,Our system extracts features from those scales using a similar concept to feature pyramid networks.,Our system extracts features from those scales using a similar concept to feature pyramid networks.,True,The cited work introduces feature pyramid networks.,,"Feature pyramids are a basic component in recognition systems for detecting objects at different scales. ||| We evaluate our method, called a Feature Pyramid Network (FPN), in various systems for detection and segmentation [11, 29, 27].","A top-
down architecture with lateral connections is developed for
building high-level semantic feature maps at all scales. ||| We evaluate our method, called a Feature Pyramid Net-
work (FPN), in various systems for detection and segmen-
tation [11, 29, 27]. ||| Feature Pyramid Networks for Object Detection
Tsung-Yi Lin1,2, Piotr Doll´ar1, Ross Girshick1,
Kaiming He1, Bharath Hariharan1, and Serge Belongie2
1Facebook AI Research (FAIR)
2Cornell University and Cornell Tech
Abstract
Feature pyramids are a basic component in recognition
systems for detecting objects at different scales."
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,newton16870,c_rz5f5w,ai,False,False,True,,newton1687,,,NEI,,,0,,other,,,False,,False,0,0,,,,I had a little momentum left over from last year; I managed to make some improvements to YOLO.,,The cited work is the source of the concept of momentum.,,,
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,openimages6,c_1xl9e1c,ai,False,False,True,,openimages,,,NEI,,,0,,other,,,False,,False,0,0,,,,This formulation helps when we move to more complex domains like the Open Images Dataset.,,The cited work introduces the Open Images Dataset.,,,
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,parham2017animal11,c_1g0iy59,ai,True,False,True,parham2017animal,parham2017animal,True,Supported,Supported,True,medium,0.98,background,background,True,False,False,False,False,2,4,1.0,1.0,"I have a lot of hope that most of the people using computer vision are just doing happy, good stuff with it, like counting the number of zebras in a national park, or tracking their cat as it wanders around their house.","I have a lot of hope that most of the people using computer vision are just doing happy, good stuff with it, like counting the number of zebras in a national park, or tracking their cat as it wanders around their house.",True,The cited work uses computer vision to count the number of zebras in a national park.,,"The first census is the Great Zebra and Giraffe Count (GZGC) held March 1-2, 2015 at the Nairobi National Park in Nairobi, Kenya to estimate the resident populations of Masai giraffes (Giraffa camelopardalis tippelskirchi) and plains zebras (Equus quagga). ||| These photographs are processed by computer vision algorithms that detect animals of desired species and determine which photographs show the same animal.","The ﬁrst census is the Great Ze-
bra and Giraffe Count (GZGC) held March 1-2, 2015 at the
Nairobi National Park in Nairobi, Kenya to estimate the resi-
dent populations of Masai giraffes (Giraffa camelopardalis
tippelskirchi) and plains zebras (Equus quagga). ||| In response, we propose to use volunteer citizen scien-
tists to collect large numbers of photographs taken over large
geographic areas, and to use computer vision algorithms to
semi-automatically identify and count individual animals. ||| These photographs are processed
by computer vision algorithms that detect animals of desired
species and determine which photographs show the same
animal. ||| Knowing the number of sightings on day 1
only, day 2 only, and resightings between both days allows a
Peterson-Lincoln estimate to be calculated as in a traditional
mark-recapture study (Table 2)."
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,pascal13,c_1wff6jw,ai,True,False,True,pascal,pascal,True,Supported,Supported,True,low,0.99,causal,causal,True,False,False,False,False,1,2,1.0,1.0,"For Pascal VOC, the IOU threshold was ''set deliberately low to account for inaccuracies in bounding boxes in the ground truth data``.","For Pascal VOC, the IOU threshold was ''set deliberately low to account for inaccuracies in bounding boxes in the ground truth data``.",False,The Pascal VOC IOU threshold was set deliberately low to account for inaccuracies in bounding boxes in the ground-truth data.,"The cited work uses the mechanism of deliberately low set IOU threshold ""to account for inaccuracies in bounding boxes in the ground truth data"".","The threshold of 50% was set deliberately low to account for inaccuracies in bounding boxes in the ground truth data, for example defining the bounding box for a highly nonconvex object, e.g. a person with arms and legs spread, is 12 somewhat subjective.","The threshold of 50% was set deliberately low to account
for inaccuracies in bounding boxes in the ground truth data,
for example deﬁning the bounding box for a highly non-
convex object, e.g. a person with arms and legs spread, is 12
somewhat subjective. ||| To be considered a correct detec-
tion, the area of overlap ao between the predicted bounding
box Bp and ground truth bounding box Bgt must exceed 0.5
(50%) by the formula
ao = area(Bp ∩Bgt)
area(Bp ∪Bgt)
(3)
where Bp ∩Bgt denotes the intersection of the predicted and
ground truth bounding boxes and Bp ∪Bgt their union."
05d7f82c89ad42bbb983ac36e265ad13,efd1d3ef3fbf45ff9e3a4478ed8cf5bd,redmon2017yolo90003,c_nkpw2,ai,True,False,True,redmon2017yolo9000,redmon2017yolo9000,True,Supported,Supported,True,medium,0.99,other,other,True,False,False,False,False,2,3,0.0,1.0,Following YOLO9000 our system predicts bounding boxes using dimension clusters as anchor boxes.,Following YOLO9000 our system predicts bounding boxes using dimension clusters as anchor boxes.,True,The cited work predicts bounding boxes using dimension clusters as anchor boxes.,,"Instead of choosing priors by hand, we run k-means clustering on the training set bounding boxes to automatically find good priors ||| YOLO predicts the coordinates of bounding boxes directly using fully connected layers on top of the convolutional feature extractor. Instead of predicting coordinates directly Faster R-CNN predicts bounding boxes using hand-picked priors [15]. Using only convolutional layers the region proposal network (RPN) in Faster R-CNN predicts offsets and confidences for anchor boxes.","Instead of choosing priors by hand, we run k-means
clustering on the training set bounding boxes to automat- COCO
# Clusters
Avg IOU
0.75
VOC 2007
ically ﬁnd good priors. ||| At only 5 priors the centroids perform similarly to 9 anchor
boxes with an average IOU of 61.0 compared to 60.9. ||| Using dimension clusters along with directly
predicting the bounding box center location improves
YOLO by almost 5% over the version with anchor boxes."
